accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
5,2,"['Lisa Denko', 'Beatrice Comnick', 'Lola Comnick', 'Larry Denko', 'Deborah Comnick', 'James Comnick', 'Joan Comnick']","['Laura Comnick', 'Elizabeth Denko', 'Betty Comnick', 'Bernita Comnick', 'Scott Denko', 'Eileen Comnick', 'Kristina Denko', 'Diana Comnick', 'James Comnick', 'Oliver Comnick', 'Linnea Comnick', 'William Denko', 'Mary Denko']",13,7,247
1,1,"['Jeanette Denko', 'Michael Comnick']",[],0,2,253
2,1,"['Nancy Comnick', 'Bruce Comnick', 'Larry Comnick']","['Forest Comnick', 'Grace Comnick', 'Debbie Comnick', 'Anthony Comnick', 'Joseph Denko', 'Rosemary Comnick']",6,3,251
3,1,"['Charles Comnick', 'Margaret Comnick', 'Mary Comnick', 'Laura Denko']",['Cynthia Comnick'],1,4,254
1,1,"['Curtis Comnick', 'Timothy Denko']","['Nicole Comnick', 'Tillie Comnick', 'David Comnick']",3,2,251
1,0,['Harriet Comnick'],"['James Denko', 'Darrell Denko', 'Glenn Denko', 'Jack Comnick', 'Walter Comnick', 'Nicole Comnick', 'Betty Comnick', 'Felicia Comnick', 'Robert Comnick', 'Mark Comnick', 'Robert Comnick']",11,1,252
4,0,"['Eddie Comnick', 'Tammy Comnick', 'Geraldine Comnick', 'Alta Comnick']",['Stephanie Comnick'],1,4,262
5,0,"['Lori Comnick', 'Chris Comnick', 'Timothy Comnick', 'Melanie Comnick', 'Brittany Comnick']","['Stephan Denko', 'Judson Denko', 'Jason Denko', 'Kristy Comnick', 'Mary Denko', 'Minnie Denko', 'Charles Comnick', 'Stacie Denko', 'Sylvia Comnick', 'Luis Comnick', 'Angel Comnick', 'Nicole Comnick', 'Lorraine Comnick', 'Harold Comnick', 'Shanna Comnick', 'Nichole Comnick', 'Annette Comnick']",17,5,259
1,1,"['Julio Comnick', 'Anthony Comnick']",['Johnny Comnick'],1,2,271
4,0,"['John Denko', 'Arthur Comnick', 'Pauline Comnick', 'Betty Comnick']","['Marilynn Comnick', 'Jason Denko', 'Helen Comnick', 'Lucia Comnick', 'Merle Comnick', 'Robert Comnick', 'Kenneth Comnick', 'Robert Comnick', 'Robert Comnick', 'Suzanne Comnick', 'Jennifer Comnick', 'Sandra Comnick', 'Gary Comnick', 'Ashley Comnick', 'Andrea Comnick', 'Celina Comnick', 'Alicia Comnick', 'Kenneth Comnick', 'Elaine Denko', 'Stacey Comnick', 'Charles Comnick', 'Angela Comnick', 'Roberta Comnick', 'Charles Comnick', 'Kelli Comnick', 'Raymond Comnick']",26,4,270
4,0,"['Christopher Comnick', 'Blanche Comnick', 'Christine Comnick', 'Steven Comnick']",[],0,4,292
2,1,"['Deidra Denko', 'Cynthia Comnick', 'Willie Denko']","['Bruce Comnick', 'Tammy Comnick', 'Teresa Comnick', 'Todd Comnick', 'Larry Comnick', 'Glen Comnick', 'Marie Denko', 'Robert Comnick', 'Keisha Comnick', 'Deborah Comnick', 'Sylvia Comnick', 'Scott Comnick', 'Raymond Comnick', 'Janae Comnick', 'Tony Comnick', 'Thomas Comnick', 'David Comnick', 'Eric Comnick', 'Lisa Comnick', 'Charles Comnick', 'Victor Comnick', 'Barbara Comnick', 'Mary Comnick', 'Kristin Comnick', 'Sophie Comnick']",25,3,288
1,0,['Krystal Comnick'],['Lillie Comnick'],1,1,310
3,2,"['Joseph Comnick', 'Neva Denko', 'Amy Comnick', 'Donald Comnick', 'Harold Comnick']","['Pamela Comnick', 'Francis Comnick', 'Ann Denko', 'Ann Comnick', 'John Comnick', 'Michael Comnick', 'Curtis Comnick', 'George Comnick', 'Christopher Denko', 'Tommy Comnick', 'Jose Comnick', 'Veronica Comnick', 'Karen Comnick', 'Lottie Comnick', 'Virginia Denko', 'Janice Denko', 'Alice Comnick', 'Jean Comnick', 'Tamara Comnick', 'David Comnick', 'Lois Comnick', 'Toni Comnick', 'Mark Denko', 'Staci Comnick']",24,5,310
2,1,"['Carolyn Comnick', 'Kimberly Comnick', 'Suzanne Comnick']",['Kimberly Denko'],1,3,329
