accident_ticker,died_of_age_ticker,died,new_borns,birth_ticker,death_ticker,population_num
1,2,"['Patti Columbus', 'Andre Columbus', 'Judy Columbus']","['Ilene Columbus', 'Barbara Columbus', 'Joni Columbus', 'Cynthia Columbus', 'Billy Columbus', 'Matthew Columbus', 'Shana Columbus', 'Sherry Columbus', 'James Columbus', 'Nicholas Columbus', 'Elizabeth Columbus', 'Jordan Columbus', 'Tameka Columbus', 'Rene Columbus', 'Barbara Columbus', 'Bobby Columbus', 'Larry Columbus', 'Lauren Columbus', 'Michele Columbus', 'Billy Columbus', 'David Columbus', 'Gilberto Columbus', 'Beatrice Columbus']",23,3,600
2,2,"['Lacey Ashmore', 'Robert Columbus', 'Brandon Columbus', 'Hunter Columbus']","['James Columbus', 'Clarence Columbus', 'Karen Columbus', 'Merle Columbus', 'Irma Columbus', 'Judith Columbus', 'Daniel Columbus', 'Cheryl Columbus', 'Johnny Columbus', 'David Columbus', 'Imogene Columbus', 'Cedric Columbus', 'David Columbus', 'James Columbus', 'David Columbus', 'Kenneth Columbus', 'Brenda Columbus', 'Florence Columbus', 'Monroe Columbus', 'John Columbus', 'Sharon Columbus', 'Nancy Columbus', 'Janice Columbus', 'Perry Columbus']",24,4,620
1,4,"['Wendy Columbus', 'Darnell Columbus', 'Alejandra Columbus', 'Debra Columbus', 'Duane Columbus']","['Walter Columbus', 'Leslie Columbus', 'Judy Ashmore', 'Dianne Columbus', 'Ray Columbus', 'Kristin Columbus', 'Linda Columbus', 'Mathilde Columbus', 'David Columbus', 'Donald Columbus', 'Willie Columbus', 'Lois Columbus', 'Jennifer Columbus', 'Victor Columbus', 'Joe Columbus', 'Michael Columbus', 'Anna Columbus', 'Alex Columbus', 'Randall Columbus', 'Kristen Columbus', 'Robert Columbus', 'Veronica Columbus', 'Dolly Columbus', 'Linda Columbus', 'Roberto Columbus']",25,5,640
2,0,"['Germaine Columbus', 'James Columbus']","['Brandy Columbus', 'Enrique Columbus', 'Craig Columbus', 'John Columbus', 'Olin Columbus', 'Lucio Columbus', 'Eric Columbus', 'Phyllis Columbus', 'Paul Columbus', 'Gladys Columbus', 'Tegan Columbus', 'Pauline Columbus', 'David Columbus', 'Raymond Columbus', 'John Columbus', 'Dorothy Columbus', 'Jack Columbus', 'Leona Columbus', 'Steve Columbus', 'Blake Columbus', 'Patrick Columbus', 'Beverly Columbus', 'Regina Columbus', 'Thomas Columbus', 'Karen Columbus', 'Brian Columbus', 'Bertha Columbus', 'Agnes Columbus', 'Willie Columbus']",29,2,660
1,2,"['Anthony Columbus', 'Kimberly Columbus', 'Jamie Columbus']","['Susan Columbus', 'Jewel Columbus', 'Miriam Columbus', 'Betty Columbus', 'Henrietta Columbus', 'Barbara Columbus', 'Kathryn Columbus', 'Joanne Columbus', 'Sophia Columbus', 'Gail Columbus', 'Graham Columbus', 'Eric Columbus', 'Sharon Columbus', 'Frances Columbus', 'Carlos Columbus', 'Nelly Columbus', 'Elizabeth Columbus', 'Lois Columbus', 'Alicia Columbus', 'Cindi Columbus', 'Stephen Columbus', 'Erika Columbus']",22,3,687
1,2,"['Dorothy Columbus', 'Dennis Columbus', 'Gale Columbus']","['Willie Columbus', 'Amanda Columbus', 'Erica Columbus', 'Rachel Columbus', 'James Columbus', 'Edith Columbus', 'Anthony Columbus', 'Joe Columbus', 'Amanda Columbus', 'Christina Columbus', 'Christopher Columbus', 'Regina Columbus', 'Marc Columbus', 'Lesley Ashmore', 'Brad Columbus', 'Peggy Columbus', 'Jeanne Columbus', 'Jesus Columbus', 'Bulah Columbus', 'Evelyn Columbus', 'Jimmy Columbus', 'Elizabeth Columbus', 'Rowena Columbus', 'Gary Columbus', 'Mark Columbus', 'Robert Columbus']",26,3,706
1,3,"['David Columbus', 'Howard Columbus', 'Steve Columbus', 'Louise Columbus']","['Vicky Columbus', 'Brianna Columbus', 'Herman Columbus', 'Bonnie Columbus', 'John Columbus', 'Thomas Ashmore', 'Arthur Columbus', 'Juanita Columbus', 'Christopher Columbus', 'Cheryl Columbus', 'Angela Columbus', 'Bobby Columbus', 'Armando Columbus', 'Mitzi Columbus', 'Janet Ashmore', 'Teresa Columbus', 'Ruben Columbus', 'John Columbus', 'Don Columbus', 'Gilbert Columbus']",20,4,729
1,1,"['Shawn Columbus', 'Ronald Columbus']","['Michael Columbus', 'Dora Columbus', 'Alexander Columbus', 'Dwight Columbus', 'Florence Columbus', 'Gregory Columbus', 'Janice Columbus', 'David Columbus', 'Darren Columbus', 'Dennis Columbus', 'Denise Columbus', 'Ryan Columbus', 'Darlene Columbus', 'Benita Columbus', 'Horace Columbus', 'Michael Columbus', 'Amanda Columbus', 'George Columbus', 'Jose Columbus', 'Bernard Columbus']",20,2,745
2,2,"['Joann Columbus', 'Heidi Columbus', 'Angela Columbus', 'Joseph Ashmore']","['Fredricka Columbus', 'Joann Columbus', 'Daniel Columbus', 'Jesse Columbus', 'Diane Columbus', 'Stephanie Ashmore', 'David Columbus', 'Robin Columbus', 'John Columbus', 'Barbara Columbus', 'John Columbus', 'Nathaniel Columbus', 'Sierra Columbus', 'Enrique Columbus', 'William Columbus', 'Dawn Columbus', 'Carol Columbus', 'Beverly Columbus', 'John Columbus', 'Theodore Columbus', 'John Columbus', 'Melanie Columbus', 'Lori Columbus', 'Stephen Columbus', 'Derek Columbus', 'John Columbus', 'Laverne Columbus', 'Sandra Columbus', 'Walter Columbus', 'Michelle Columbus', 'Margaret Columbus', 'Oliver Columbus', 'Jorge Columbus', 'Jimmie Columbus', 'Sean Columbus']",35,4,763
1,2,"['Nicole Columbus', 'Dallas Columbus', 'Louis Columbus']","['Edwin Columbus', 'William Columbus', 'Ann Columbus', 'Walter Columbus', 'Edward Columbus', 'Lamar Columbus', 'Lisa Columbus', 'Sandra Columbus', 'Frank Columbus', 'Janet Columbus', 'Pam Columbus', 'Robert Columbus', 'Erik Columbus', 'Jason Columbus', 'Milagros Columbus', 'Ralph Columbus', 'Roger Columbus', 'Leif Columbus', 'Lydia Columbus', 'Carl Columbus', 'Ruby Columbus', 'Robert Columbus', 'Philip Columbus', 'William Columbus', 'Frank Columbus', 'Donna Columbus', 'Brenda Columbus', 'Mildred Columbus', 'Milton Columbus', 'Aida Columbus', 'Jayne Columbus', 'Tomika Columbus']",32,3,794
